country,year,sex,age,suicides_no,population,suicides/100k_pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
Albania,1993,female,55-74 years,2.0,169500.0,1.18,Albania1993,,1228071038.0,437.0,Silent
Albania,1993,female,5-14 years,1.0,340300.0,0.29,Albania1993,,1228071038.0,437.0,Millenials
Albania,1993,male,5-14 years,1.0,367000.0,0.27,Albania1993,,1228071038.0,437.0,Millenials
Albania,1993,female,75+ years,0.0,39300.0,0.0,Albania1993,,1228071038.0,437.0,G.I. Generation
Albania,1994,male,75+ years,2.0,24600.0,8.13,Albania1994,,1985673798.0,697.0,G.I. Generation
Albania,1994,male,55-74 years,11.0,171400.0,6.42,Albania1994,,1985673798.0,697.0,Silent
Albania,1994,female,75+ years,2.0,39900.0,5.01,Albania1994,,1985673798.0,697.0,G.I. Generation
Albania,1994,male,25-34 years,6.0,231400.0,2.59,Albania1994,,1985673798.0,697.0,Boomers
Albania,1994,male,35-54 years,9.0,362800.0,2.48,Albania1994,,1985673798.0,697.0,Boomers
Albania,1994,male,15-24 years,6.0,242200.0,2.48,Albania1994,,1985673798.0,697.0,Generation X
Albania,1994,female,15-24 years,6.0,282600.0,2.12,Albania1994,,1985673798.0,697.0,Generation X
Albania,1994,female,25-34 years,4.0,261100.0,1.53,Albania1994,,1985673798.0,697.0,Boomers
Albania,1994,female,35-54 years,2.0,342500.0,0.58,Albania1994,,1985673798.0,697.0,Boomers
Albania,1994,female,55-74 years,1.0,174600.0,0.57,Albania1994,,1985673798.0,697.0,Silent
Albania,1994,male,5-14 years,1.0,371800.0,0.27,Albania1994,,1985673798.0,697.0,Millenials
Albania,1994,female,5-14 years,0.0,344400.0,0.0,Albania1994,,1985673798.0,697.0,Millenials
Albania,1995,male,25-34 years,13.0,232900.0,5.58,Albania1995,0.619,2424499009.0,835.0,Generation X
Albania,1995,male,55-74 years,9.0,178000.0,5.06,Albania1995,0.619,2424499009.0,835.0,Silent
Albania,1995,female,75+ years,2.0,40800.0,4.9,Albania1995,0.619,2424499009.0,835.0,G.I. Generation
Albania,1995,female,15-24 years,13.0,283500.0,4.59,Albania1995,0.619,2424499009.0,835.0,Generation X
Albania,1995,male,15-24 years,11.0,241200.0,4.56,Albania1995,0.619,2424499009.0,835.0,Generation X
Albania,1995,male,75+ years,1.0,25100.0,3.98,Albania1995,0.619,2424499009.0,835.0,G.I. Generation
Albania,1995,male,35-54 years,14.0,375900.0,3.72,Albania1995,0.619,2424499009.0,835.0,Boomers
Albania,1995,female,25-34 years,7.0,264000.0,2.65,Albania1995,0.619,2424499009.0,835.0,Generation X
Albania,1995,female,35-54 years,8.0,356400.0,2.24,Albania1995,0.619,2424499009.0,835.0,Boomers
Albania,1995,male,5-14 years,6.0,376500.0,1.59,Albania1995,0.619,2424499009.0,835.0,Millenials
Albania,1995,female,55-74 years,2.0,180400.0,1.11,Albania1995,0.619,2424499009.0,835.0,Silent
Albania,1995,female,5-14 years,2.0,348700.0,0.57,Albania1995,0.619,2424499009.0,835.0,Millenials
Albania,1996,male,75+ years,2.0,25400.0,7.87,Albania1996,,3314898292.0,1127.0,G.I. Generation
Albania,1996,male,15-24 years,17.0,243600.0,6.98,Albania1996,,3314898292.0,1127.0,Generation X
Albania,1996,male,25-34 years,14.0,235300.0,5.95,Albania1996,,3314898292.0,1127.0,Generation X
Albania,1996,female,15-24 years,16.0,287700.0,5.56,Albania1996,,3314898292.0,1127.0,Generation X
Albania,1996,female,75+ years,2.0,41200.0,4.85,Albania1996,,3314898292.0,1127.0,G.I. Generation
Albania,1996,female,25-34 years,10.0,267900.0,3.73,Albania1996,,3314898292.0,1127.0,Generation X
Albania,1996,male,35-54 years,12.0,379600.0,3.16,Albania1996,,3314898292.0,1127.0,Boomers
Albania,1996,female,35-54 years,9.0,362000.0,2.49,Albania1996,,3314898292.0,1127.0,Boomers
Albania,1996,male,55-74 years,3.0,179900.0,1.67,Albania1996,,3314898292.0,1127.0,Silent
Albania,1996,female,55-74 years,1.0,183100.0,0.55,Albania1996,,3314898292.0,1127.0,Silent
Albania,1996,male,5-14 years,2.0,380400.0,0.53,Albania1996,,3314898292.0,1127.0,Millenials
Albania,1996,female,5-14 years,1.0,354100.0,0.28,Albania1996,,3314898292.0,1127.0,Millenials
Albania,1997,male,25-34 years,36.0,236000.0,15.25,Albania1997,,2359903108.0,793.0,Generation X
Albania,1997,male,15-24 years,33.0,244400.0,13.5,Albania1997,,2359903108.0,793.0,Generation X
Albania,1997,male,75+ years,3.0,25400.0,11.81,Albania1997,,2359903108.0,793.0,G.I. Generation
Albania,1997,male,35-54 years,30.0,380800.0,7.88,Albania1997,,2359903108.0,793.0,Boomers
Albania,1997,female,15-24 years,21.0,294000.0,7.14,Albania1997,,2359903108.0,793.0,Generation X
Albania,1997,male,55-74 years,12.0,180300.0,6.66,Albania1997,,2359903108.0,793.0,Silent
Albania,1997,female,25-34 years,16.0,273900.0,5.84,Albania1997,,2359903108.0,793.0,Generation X
Albania,1997,female,75+ years,2.0,42100.0,4.75,Albania1997,,2359903108.0,793.0,G.I. Generation
Albania,1997,female,35-54 years,7.0,370100.0,1.89,Albania1997,,2359903108.0,793.0,Boomers
Albania,1997,female,5-14 years,6.0,361800.0,1.66,Albania1997,,2359903108.0,793.0,Millenials
Albania,1997,male,5-14 years,4.0,381500.0,1.05,Albania1997,,2359903108.0,793.0,Millenials
Albania,1997,female,55-74 years,0.0,187000.0,0.0,Albania1997,,2359903108.0,793.0,Silent
Albania,1998,male,75+ years,3.0,25800.0,11.63,Albania1998,,2707123772.0,899.0,G.I. Generation
Albania,1998,male,15-24 years,27.0,248800.0,10.85,Albania1998,,2707123772.0,899.0,Generation X
Albania,1998,female,15-24 years,32.0,295600.0,10.83,Albania1998,,2707123772.0,899.0,Generation X
Albania,1998,male,25-34 years,26.0,240400.0,10.82,Albania1998,,2707123772.0,899.0,Generation X
Albania,1998,male,35-54 years,29.0,388200.0,7.47,Albania1998,,2707123772.0,899.0,Boomers
Albania,1998,male,55-74 years,9.0,183800.0,4.9,Albania1998,,2707123772.0,899.0,Silent
Albania,1998,female,25-34 years,10.0,275300.0,3.63,Albania1998,,2707123772.0,899.0,Generation X
Albania,1998,female,55-74 years,6.0,188200.0,3.19,Albania1998,,2707123772.0,899.0,Silent
Albania,1998,female,35-54 years,9.0,372100.0,2.42,Albania1998,,2707123772.0,899.0,Boomers
Albania,1998,male,5-14 years,2.0,388400.0,0.51,Albania1998,,2707123772.0,899.0,Millenials
Albania,1998,female,5-14 years,1.0,363800.0,0.27,Albania1998,,2707123772.0,899.0,Millenials
Albania,1998,female,75+ years,0.0,42300.0,0.0,Albania1998,,2707123772.0,899.0,G.I. Generation
Albania,1999,male,75+ years,3.0,25900.0,11.58,Albania1999,,3414760915.0,1127.0,G.I. Generation
Albania,1999,male,15-24 years,24.0,250600.0,9.58,Albania1999,,3414760915.0,1127.0,Generation X
Albania,1999,female,75+ years,4.0,42400.0,9.43,Albania1999,,3414760915.0,1127.0,G.I. Generation
Albania,1999,male,35-54 years,31.0,391100.0,7.93,Albania1999,,3414760915.0,1127.0,Boomers
Albania,1999,male,25-34 years,19.0,242300.0,7.84,Albania1999,,3414760915.0,1127.0,Generation X
Albania,1999,male,55-74 years,14.0,185200.0,7.56,Albania1999,,3414760915.0,1127.0,Silent
Albania,1999,female,15-24 years,19.0,296800.0,6.4,Albania1999,,3414760915.0,1127.0,Generation X
Albania,1999,female,25-34 years,13.0,276500.0,4.7,Albania1999,,3414760915.0,1127.0,Generation X
Albania,1999,female,55-74 years,6.0,188800.0,3.18,Albania1999,,3414760915.0,1127.0,Silent
Albania,1999,female,35-54 years,5.0,373600.0,1.34,Albania1999,,3414760915.0,1127.0,Boomers
Albania,1999,female,5-14 years,1.0,365200.0,0.27,Albania1999,,3414760915.0,1127.0,Millenials
Albania,1999,male,5-14 years,0.0,391300.0,0.0,Albania1999,,3414760915.0,1127.0,Millenials
Albania,2000,male,25-34 years,17.0,232000.0,7.33,Albania2000,0.656,3632043908.0,1299.0,Generation X
Albania,2000,male,55-74 years,10.0,177400.0,5.64,Albania2000,0.656,3632043908.0,1299.0,Silent
Albania,2000,female,75+ years,2.0,37800.0,5.29,Albania2000,0.656,3632043908.0,1299.0,G.I. Generation
Albania,2000,male,75+ years,1.0,24900.0,4.02,Albania2000,0.656,3632043908.0,1299.0,G.I. Generation
Albania,2000,female,15-24 years,6.0,263900.0,2.27,Albania2000,0.656,3632043908.0,1299.0,Generation X
Albania,2000,male,15-24 years,5.0,240000.0,2.08,Albania2000,0.656,3632043908.0,1299.0,Generation X
Albania,2000,female,35-54 years,5.0,332200.0,1.51,Albania2000,0.656,3632043908.0,1299.0,Boomers
Albania,2000,female,25-34 years,3.0,245800.0,1.22,Albania2000,0.656,3632043908.0,1299.0,Generation X
Albania,2000,male,35-54 years,4.0,374700.0,1.07,Albania2000,0.656,3632043908.0,1299.0,Boomers
Albania,2000,male,5-14 years,1.0,374900.0,0.27,Albania2000,0.656,3632043908.0,1299.0,Millenials
Albania,2000,female,5-14 years,0.0,324700.0,0.0,Albania2000,0.656,3632043908.0,1299.0,Millenials
Albania,2000,female,55-74 years,0.0,168000.0,0.0,Albania2000,0.656,3632043908.0,1299.0,Silent
Albania,2001,male,25-34 years,22.0,206484.0,10.65,Albania2001,,4060758804.0,1451.0,Generation X
Albania,2001,male,35-54 years,34.0,378826.0,8.98,Albania2001,,4060758804.0,1451.0,Boomers
Albania,2001,male,55-74 years,11.0,196670.0,5.59,Albania2001,,4060758804.0,1451.0,Silent
Albania,2001,female,75+ years,2.0,47254.0,4.23,Albania2001,,4060758804.0,1451.0,Silent
Albania,2001,male,15-24 years,10.0,256039.0,3.91,Albania2001,,4060758804.0,1451.0,Millenials
Albania,2001,female,15-24 years,9.0,271359.0,3.32,Albania2001,,4060758804.0,1451.0,Millenials
Albania,2001,female,35-54 years,12.0,370191.0,3.24,Albania2001,,4060758804.0,1451.0,Boomers
Albania,2001,male,75+ years,1.0,31044.0,3.22,Albania2001,,4060758804.0,1451.0,Silent
Albania,2001,female,55-74 years,6.0,189799.0,3.16,Albania2001,,4060758804.0,1451.0,Silent
Albania,2001,male,5-14 years,6.0,321556.0,1.87,Albania2001,,4060758804.0,1451.0,Millenials
Albania,2001,female,25-34 years,4.0,222771.0,1.8,Albania2001,,4060758804.0,1451.0,Generation X
Albania,2001,female,5-14 years,2.0,307356.0,0.65,Albania2001,,4060758804.0,1451.0,Millenials
Albania,2002,male,75+ years,4.0,31007.0,12.9,Albania2002,,4435078648.0,1573.0,Silent
Albania,2002,male,25-34 years,23.0,206286.0,11.15,Albania2002,,4435078648.0,1573.0,Generation X
Albania,2002,male,35-54 years,35.0,382139.0,9.16,Albania2002,,4435078648.0,1573.0,Boomers
Albania,2002,male,55-74 years,13.0,198130.0,6.56,Albania2002,,4435078648.0,1573.0,Silent
Albania,2002,male,15-24 years,15.0,263067.0,5.7,Albania2002,,4435078648.0,1573.0,Millenials
Albania,2002,female,15-24 years,14.0,275970.0,5.07,Albania2002,,4435078648.0,1573.0,Millenials
Albania,2002,female,35-54 years,15.0,375113.0,4.0,Albania2002,,4435078648.0,1573.0,Boomers
Albania,2002,female,25-34 years,7.0,223685.0,3.13,Albania2002,,4435078648.0,1573.0,Generation X
Albania,2002,female,75+ years,1.0,47407.0,2.11,Albania2002,,4435078648.0,1573.0,Silent
Albania,2002,female,55-74 years,4.0,191712.0,2.09,Albania2002,,4435078648.0,1573.0,Silent
Albania,2002,female,5-14 years,1.0,304850.0,0.33,Albania2002,,4435078648.0,1573.0,Millenials
Albania,2002,male,5-14 years,1.0,319473.0,0.31,Albania2002,,4435078648.0,1573.0,Millenials
Albania,2003,female,75+ years,6.0,49088.0,12.22,Albania2003,,5746945913.0,2021.0,Silent
Albania,2003,male,55-74 years,16.0,201520.0,7.94,Albania2003,,5746945913.0,2021.0,Silent
Albania,2003,male,35-54 years,28.0,386196.0,7.25,Albania2003,,5746945913.0,2021.0,Boomers
Albania,2003,male,15-24 years,15.0,273235.0,5.49,Albania2003,,5746945913.0,2021.0,Millenials
Albania,2003,female,15-24 years,14.0,283709.0,4.93,Albania2003,,5746945913.0,2021.0,Millenials
Albania,2003,female,55-74 years,9.0,195699.0,4.6,Albania2003,,5746945913.0,2021.0,Silent
Albania,2003,male,25-34 years,9.0,205433.0,4.38,Albania2003,,5746945913.0,2021.0,Generation X
Albania,2003,female,25-34 years,9.0,222941.0,4.04,Albania2003,,5746945913.0,2021.0,Generation X
Albania,2003,female,35-54 years,13.0,381760.0,3.41,Albania2003,,5746945913.0,2021.0,Boomers
Albania,2003,male,75+ years,1.0,32667.0,3.06,Albania2003,,5746945913.0,2021.0,Silent
Albania,2003,male,5-14 years,4.0,313204.0,1.28,Albania2003,,5746945913.0,2021.0,Millenials
Albania,2003,female,5-14 years,0.0,298477.0,0.0,Albania2003,,5746945913.0,2021.0,Millenials
Albania,2004,male,75+ years,4.0,35526.0,11.26,Albania2004,,7314865176.0,2544.0,Silent
Albania,2004,male,35-54 years,39.0,391767.0,9.95,Albania2004,,7314865176.0,2544.0,Boomers
Albania,2004,male,25-34 years,16.0,203938.0,7.85,Albania2004,,7314865176.0,2544.0,Generation X
Albania,2004,female,15-24 years,20.0,292268.0,6.84,Albania2004,,7314865176.0,2544.0,Millenials
Albania,2004,male,15-24 years,19.0,286768.0,6.63,Albania2004,,7314865176.0,2544.0,Millenials
Albania,2004,female,75+ years,3.0,50970.0,5.89,Albania2004,,7314865176.0,2544.0,Silent
Albania,2004,female,25-34 years,11.0,222389.0,4.95,Albania2004,,7314865176.0,2544.0,Generation X
Albania,2004,male,55-74 years,10.0,207202.0,4.83,Albania2004,,7314865176.0,2544.0,Silent
Albania,2004,female,35-54 years,17.0,391436.0,4.34,Albania2004,,7314865176.0,2544.0,Boomers
Albania,2004,female,55-74 years,3.0,203841.0,1.47,Albania2004,,7314865176.0,2544.0,Silent
Albania,2004,female,5-14 years,3.0,286705.0,1.05,Albania2004,,7314865176.0,2544.0,Millenials
Albania,2004,male,5-14 years,1.0,302181.0,0.33,Albania2004,,7314865176.0,2544.0,Millenials
Albania,2005,female,15-24 years,0.0,281922.0,0.0,Albania2005,0.695,8158548717.0,2931.0,Millenials
Albania,2005,female,25-34 years,0.0,190745.0,0.0,Albania2005,0.695,8158548717.0,2931.0,Generation X
Albania,2005,female,35-54 years,0.0,386513.0,0.0,Albania2005,0.695,8158548717.0,2931.0,Boomers
Albania,2005,female,5-14 years,0.0,276559.0,0.0,Albania2005,0.695,8158548717.0,2931.0,Millenials
Albania,2005,female,55-74 years,0.0,210998.0,0.0,Albania2005,0.695,8158548717.0,2931.0,Silent
Albania,2005,female,75+ years,0.0,53191.0,0.0,Albania2005,0.695,8158548717.0,2931.0,Silent
Albania,2005,male,15-24 years,0.0,281675.0,0.0,Albania2005,0.695,8158548717.0,2931.0,Millenials
Albania,2005,male,25-34 years,0.0,177519.0,0.0,Albania2005,0.695,8158548717.0,2931.0,Generation X
Albania,2005,male,35-54 years,0.0,380242.0,0.0,Albania2005,0.695,8158548717.0,2931.0,Boomers
Albania,2005,male,5-14 years,0.0,291367.0,0.0,Albania2005,0.695,8158548717.0,2931.0,Millenials
Albania,2005,male,55-74 years,0.0,214118.0,0.0,Albania2005,0.695,8158548717.0,2931.0,Silent
Albania,2005,male,75+ years,0.0,38471.0,0.0,Albania2005,0.695,8158548717.0,2931.0,Silent
Albania,2006,female,15-24 years,0.0,283138.0,0.0,Albania2006,,8992642349.0,3235.0,Millenials
Albania,2006,female,25-34 years,0.0,186391.0,0.0,Albania2006,,8992642349.0,3235.0,Generation X
Albania,2006,female,35-54 years,0.0,388746.0,0.0,Albania2006,,8992642349.0,3235.0,Boomers
Albania,2006,female,5-14 years,0.0,267316.0,0.0,Albania2006,,8992642349.0,3235.0,Millenials
Albania,2006,female,55-74 years,0.0,215907.0,0.0,Albania2006,,8992642349.0,3235.0,Silent
Albania,2006,female,75+ years,0.0,56011.0,0.0,Albania2006,,8992642349.0,3235.0,Silent
Albania,2006,male,15-24 years,0.0,286679.0,0.0,Albania2006,,8992642349.0,3235.0,Millenials
Albania,2006,male,25-34 years,0.0,174092.0,0.0,Albania2006,,8992642349.0,3235.0,Generation X
Albania,2006,male,35-54 years,0.0,379076.0,0.0,Albania2006,,8992642349.0,3235.0,Boomers
Albania,2006,male,5-14 years,0.0,282678.0,0.0,Albania2006,,8992642349.0,3235.0,Millenials
Albania,2006,male,55-74 years,0.0,219360.0,0.0,Albania2006,,8992642349.0,3235.0,Silent
Albania,2006,male,75+ years,0.0,40782.0,0.0,Albania2006,,8992642349.0,3235.0,Silent
Albania,2007,male,75+ years,8.0,42366.0,18.88,Albania2007,,10701011897.0,3863.0,Silent
Albania,2007,male,35-54 years,29.0,378626.0,7.66,Albania2007,,10701011897.0,3863.0,Boomers
Albania,2007,male,55-74 years,14.0,224160.0,6.25,Albania2007,,10701011897.0,3863.0,Silent
Albania,2007,female,75+ years,3.0,57404.0,5.23,Albania2007,,10701011897.0,3863.0,Silent
Albania,2007,male,25-34 years,9.0,172494.0,5.22,Albania2007,,10701011897.0,3863.0,Generation X
Albania,2007,female,15-24 years,13.0,281080.0,4.63,Albania2007,,10701011897.0,3863.0,Millenials
Albania,2007,male,15-24 years,13.0,288349.0,4.51,Albania2007,,10701011897.0,3863.0,Millenials
Albania,2007,female,25-34 years,8.0,183629.0,4.36,Albania2007,,10701011897.0,3863.0,Generation X
Albania,2007,female,55-74 years,9.0,221120.0,4.07,Albania2007,,10701011897.0,3863.0,Silent
Albania,2007,female,35-54 years,14.0,391811.0,3.57,Albania2007,,10701011897.0,3863.0,Boomers
Albania,2007,male,5-14 years,4.0,272497.0,1.47,Albania2007,,10701011897.0,3863.0,Generation Z
Albania,2007,female,5-14 years,0.0,256808.0,0.0,Albania2007,,10701011897.0,3863.0,Generation Z
Albania,2008,male,25-34 years,21.0,172855.0,12.15,Albania2008,,12881352688.0,4672.0,Generation X
Albania,2008,male,35-54 years,37.0,377119.0,9.81,Albania2008,,12881352688.0,4672.0,Boomers
Albania,2008,male,55-74 years,21.0,228672.0,9.18,Albania2008,,12881352688.0,4672.0,Silent
Albania,2008,female,75+ years,5.0,59369.0,8.42,Albania2008,,12881352688.0,4672.0,Silent
Albania,2008,female,15-24 years,20.0,276073.0,7.24,Albania2008,,12881352688.0,4672.0,Millenials
Albania,2008,female,25-34 years,9.0,182663.0,4.93,Albania2008,,12881352688.0,4672.0,Generation X
Albania,2008,female,35-54 years,19.0,393832.0,4.82,Albania2008,,12881352688.0,4672.0,Boomers
Albania,2008,male,75+ years,2.0,44574.0,4.49,Albania2008,,12881352688.0,4672.0,Silent
Albania,2008,male,15-24 years,11.0,286702.0,3.84,Albania2008,,12881352688.0,4672.0,Millenials
Albania,2008,female,55-74 years,7.0,226448.0,3.09,Albania2008,,12881352688.0,4672.0,Silent
Albania,2008,male,5-14 years,7.0,262464.0,2.67,Albania2008,,12881352688.0,4672.0,Generation Z
Albania,2008,female,5-14 years,1.0,246288.0,0.41,Albania2008,,12881352688.0,4672.0,Generation Z
Albania,2009,female,15-24 years,0.0,270003.0,0.0,Albania2009,,12044212904.0,4387.0,Millenials
Albania,2009,female,25-34 years,0.0,182712.0,0.0,Albania2009,,12044212904.0,4387.0,Generation X
Albania,2009,female,35-54 years,0.0,394286.0,0.0,Albania2009,,12044212904.0,4387.0,Boomers
Albania,2009,female,5-14 years,0.0,236174.0,0.0,Albania2009,,12044212904.0,4387.0,Generation Z
Albania,2009,female,55-74 years,0.0,233302.0,0.0,Albania2009,,12044212904.0,4387.0,Silent
Albania,2009,female,75+ years,0.0,61582.0,0.0,Albania2009,,12044212904.0,4387.0,Silent
Albania,2009,male,15-24 years,0.0,283448.0,0.0,Albania2009,,12044212904.0,4387.0,Millenials
Albania,2009,male,25-34 years,0.0,174955.0,0.0,Albania2009,,12044212904.0,4387.0,Generation X
Albania,2009,male,35-54 years,0.0,374365.0,0.0,Albania2009,,12044212904.0,4387.0,Boomers
Albania,2009,male,5-14 years,0.0,253007.0,0.0,Albania2009,,12044212904.0,4387.0,Generation Z
Albania,2009,male,55-74 years,0.0,234570.0,0.0,Albania2009,,12044212904.0,4387.0,Silent
Albania,2009,male,75+ years,0.0,47331.0,0.0,Albania2009,,12044212904.0,4387.0,Silent
Albania,2010,male,55-74 years,20.0,241852.0,8.27,Albania2010,0.722,11926953259.0,4359.0,Silent
Albania,2010,male,35-54 years,20.0,371611.0,5.38,Albania2010,0.722,11926953259.0,4359.0,Generation X
Albania,2010,male,25-34 years,9.0,179720.0,5.01,Albania2010,0.722,11926953259.0,4359.0,Generation X
Albania,2010,male,75+ years,2.0,50767.0,3.94,Albania2010,0.722,11926953259.0,4359.0,Silent
Albania,2010,male,15-24 years,10.0,279508.0,3.58,Albania2010,0.722,11926953259.0,4359.0,Millenials
Albania,2010,female,25-34 years,6.0,183579.0,3.27,Albania2010,0.722,11926953259.0,4359.0,Generation X
Albania,2010,female,75+ years,2.0,64415.0,3.1,Albania2010,0.722,11926953259.0,4359.0,Silent
Albania,2010,female,35-54 years,12.0,394593.0,3.04,Albania2010,0.722,11926953259.0,4359.0,Generation X
Albania,2010,female,55-74 years,7.0,241491.0,2.9,Albania2010,0.722,11926953259.0,4359.0,Silent
Albania,2010,female,15-24 years,6.0,263581.0,2.28,Albania2010,0.722,11926953259.0,4359.0,Millenials
Albania,2010,female,5-14 years,2.0,223969.0,0.89,Albania2010,0.722,11926953259.0,4359.0,Generation Z
Albania,2010,male,5-14 years,0.0,240939.0,0.0,Albania2010,0.722,11926953259.0,4359.0,Generation Z
Antigua and Barbuda,1985,female,15-24 years,0.0,7709.0,0.0,Antigua and Barbuda1985,,240923926.0,3850.0,Generation X
Antigua and Barbuda,1985,female,25-34 years,0.0,6344.0,0.0,Antigua and Barbuda1985,,240923926.0,3850.0,Boomers
