country,year,suicides/100k_pop
Argentina,2015,112.13
Armenia,1990,41.12
Armenia,1991,45.87
Armenia,1992,40.86
Armenia,1993,51.05
Armenia,1994,66.73
Armenia,1995,51.79
Armenia,1996,37.05
Armenia,1997,32.23
Armenia,1998,27.42
Armenia,1999,24.68
Armenia,2000,34.300000000000004
Armenia,2001,29.78
Armenia,2002,38.07
Armenia,2003,33.43
Armenia,2006,43.67
Armenia,2007,39.019999999999996
Armenia,2008,35.15
Armenia,2009,33.7
Armenia,2010,40.410000000000004
Armenia,2011,32.98
Armenia,2012,36.57
Armenia,2013,37.48
Armenia,2014,37.01
Armenia,2015,45.28
Armenia,2016,40.56
Aruba,1995,308.51
Aruba,1999,115.47
Aruba,2000,305.33
Aruba,2001,27.28
Aruba,2002,126.46000000000001
Aruba,2003,12.93
Aruba,2004,176.72
Aruba,2005,99.58
Aruba,2006,96.31
Aruba,2007,92.19
Aruba,2008,41.440000000000005
Aruba,2009,42.230000000000004
Aruba,2010,58.65
Aruba,2011,93.42
Australia,1985,163.41
Australia,1986,175.79
Australia,1987,188.82
Australia,1988,179.32
Australia,1989,168.11
Australia,1990,172.35
Australia,1991,180.15
Australia,1992,170.64000000000001
Australia,1993,154.95000000000002
Australia,1994,167.75
Australia,1995,155.19
Australia,1996,175.34
Australia,1997,186.93
Australia,1998,176.41
Australia,1999,167.15
Australia,2000,157.82
Australia,2001,158.79
Australia,2002,144.68
Australia,2003,133.84
Australia,2004,133.76
Australia,2006,127.89
Australia,2007,130.25
Australia,2008,130.49
Australia,2009,130.12
Australia,2010,132.64000000000001
Australia,2011,133.22
Australia,2012,139.57
Australia,2013,138.78
Australia,2014,149.07
Australia,2015,154.18
Austria,1985,384.81
Austria,1986,401.8
Austria,1987,405.88
Austria,1988,357.64
Austria,1989,359.32
Austria,1990,353.78000000000003
Austria,1991,355.46999999999997
Austria,1992,341.74
Austria,1993,347.96
Austria,1994,343.62
Austria,1995,348.09
Austria,1996,342.65
Austria,1997,297.5
Austria,1998,289.38
Austria,1999,280.3
Austria,2000,289.77
Austria,2001,261.91
Austria,2002,276.92
Austria,2003,257.06
Austria,2004,254.04
Austria,2005,235.25
Austria,2006,218.9
Austria,2007,217.31
Austria,2008,216.45
Austria,2009,213.22
Austria,2010,207.55
Austria,2011,211.49
Austria,2012,206.63
Austria,2013,212.12
Austria,2014,209.82
Austria,2015,194.62
Austria,2016,183.23
Azerbaijan,1990,24.61
Azerbaijan,1991,32.23
Azerbaijan,1992,34.78
Azerbaijan,1993,31.52
Azerbaijan,1994,12.04
Azerbaijan,1995,14.280000000000001
Azerbaijan,1996,17.830000000000002
Azerbaijan,1997,18.59
Azerbaijan,1998,10.67
Azerbaijan,1999,8.58
Azerbaijan,2000,14.41
Azerbaijan,2001,60.05
Azerbaijan,2002,19.419999999999998
Azerbaijan,2003,27.07
Azerbaijan,2004,18.33
Azerbaijan,2007,11.83
Bahamas,1985,4.76
Bahamas,1987,13.59
Bahamas,1993,37.51
Bahamas,1994,10.6
Bahamas,1995,7.16
Bahamas,1996,9.82
Bahamas,1997,7.15
Bahamas,1998,11.09
Bahamas,1999,22.96
Bahamas,2000,40.66
Bahamas,2001,2.68
Bahamas,2002,9.969999999999999
Bahamas,2003,2.49
Bahamas,2004,5.93
Bahamas,2005,13.32
Bahamas,2006,5.640000000000001
Bahamas,2007,13.42
Bahamas,2008,12.49
Bahamas,2009,15.98
Bahamas,2010,58.32
Bahamas,2011,12.99
Bahamas,2012,11.84
Bahamas,2013,13.91
Bahrain,1985,20.12
Bahrain,1987,25.68
Bahrain,1988,24.8
Bahrain,1997,0.0
Bahrain,1998,0.0
Bahrain,1999,22.46
Bahrain,2000,32.730000000000004
Bahrain,2001,30.66
Bahrain,2002,27.68
Bahrain,2003,32.39
Bahrain,2004,54.21
Bahrain,2005,40.22
Bahrain,2006,27.18
Bahrain,2007,32.09
Bahrain,2008,27.89
Bahrain,2009,24.59
Bahrain,2010,11.89
Bahrain,2011,14.96
Bahrain,2012,8.68
Bahrain,2013,2.49
Bahrain,2014,6.5200000000000005
Barbados,1985,61.72
Barbados,1986,36.73
Barbados,1987,29.46
Barbados,1988,57.39
Barbados,1989,73.58
Barbados,1990,121.23
Barbados,1991,76.93
Barbados,1992,63.53
Barbados,1993,90.93
Barbados,1994,67.08
Barbados,1995,72.29
Barbados,2000,37.13
Barbados,2001,8.65
Barbados,2002,0.0
Barbados,2003,0.0
Barbados,2004,7.79
Barbados,2005,2.58
Barbados,2006,45.38
Barbados,2007,0.0
Barbados,2008,2.31
Barbados,2009,28.8
Barbados,2010,7.62
Barbados,2011,0.0
Barbados,2012,0.0
Barbados,2013,0.0
Belarus,1990,274.37
Belarus,1991,297.64
Belarus,1992,314.24
Belarus,1993,365.11
Belarus,1994,403.58
Belarus,1995,404.01
Belarus,1996,455.71000000000004
Belarus,1997,446.5
Belarus,1998,455.64
Belarus,1999,450.36
Belarus,2000,447.3
Belarus,2001,419.65
Belarus,2002,411.0
Belarus,2003,444.86
Belarus,2007,355.89
Belarus,2008,352.15999999999997
Belarus,2009,375.54
Belarus,2010,331.98
Belarus,2011,299.36
Belarus,2013,273.32
Belarus,2014,252.91
Belgium,1985,332.04
Belgium,1986,314.69
Belgium,1987,327.76
Belgium,1988,283.8
Belgium,1989,284.85
Belgium,1990,277.11
Belgium,1991,264.02
Belgium,1992,265.88
Belgium,1993,300.47
Belgium,1994,300.4
Belgium,1995,285.9
Belgium,1996,267.54
Belgium,1997,284.74
Belgium,1998,264.74
Belgium,1999,230.7
Belgium,2000,267.8
Belgium,2001,261.21999999999997
Belgium,2002,247.85999999999999
Belgium,2003,248.73
Belgium,2004,231.06
Belgium,2005,231.75
Belgium,2006,214.9
Belgium,2007,208.57
Belgium,2008,221.54
Belgium,2009,218.35
Belgium,2010,220.18
Belgium,2011,226.71
Belgium,2012,217.13
Belgium,2013,201.54999999999998
Belgium,2014,201.85
Belgium,2015,196.66
Belize,1986,19.37
Belize,1987,31.41
Belize,1989,5.16
Belize,1990,29.7
Belize,1991,23.93
Belize,1993,6.49
Belize,1994,164.73
Belize,1995,143.97
Belize,1996,61.290000000000006
Belize,1997,5.77
Belize,1998,81.78
Belize,1999,83.72
Belize,2000,160.8
Belize,2001,151.7
Belize,2002,69.62
Belize,2003,59.0
Belize,2004,117.38
Belize,2005,46.1
Belize,2006,37.92
Belize,2007,78.49000000000001
Belize,2008,86.36
Belize,2009,57.76
Belize,2010,61.48
Belize,2011,153.3
Belize,2012,73.45
Belize,2013,56.4
Belize,2014,90.95
Belize,2015,135.46
Bosnia and Herzegovina,2011,1.31
Bosnia and Herzegovina,2014,109.5
Brazil,1985,59.18
Brazil,1986,57.16
Brazil,1987,70.12
Brazil,1988,65.36
Brazil,1989,64.02
Brazil,1990,67.06
Brazil,1991,68.34
Brazil,1992,64.92
Brazil,1993,67.86
Brazil,1994,71.51
Brazil,1995,75.24
Brazil,1996,73.33
Brazil,1997,76.8
Brazil,1998,75.05
Brazil,1999,67.64999999999999
Brazil,2000,68.23
Brazil,2001,73.49
Brazil,2002,69.77
Brazil,2003,68.07
Brazil,2004,70.22
Brazil,2005,73.6
Brazil,2006,69.89999999999999
Brazil,2007,71.68
Brazil,2008,72.21
Brazil,2009,70.37
Brazil,2010,72.73
Brazil,2011,72.41
Brazil,2012,74.45
Brazil,2013,73.41
Brazil,2014,73.13
Brazil,2015,77.45
Bulgaria,1985,303.12
Bulgaria,1986,275.48
Bulgaria,1987,308.4
Bulgaria,1988,292.49
Bulgaria,1989,292.19
Bulgaria,1990,256.43
Bulgaria,1991,268.94
Bulgaria,1992,310.6
Bulgaria,1993,278.36
Bulgaria,1994,288.39
Bulgaria,1995,277.84999999999997
Bulgaria,1996,296.2
Bulgaria,1997,276.36
Bulgaria,1998,304.61
Bulgaria,1999,250.71
Bulgaria,2000,259.21999999999997
Bulgaria,2001,244.62
Bulgaria,2002,247.35
Bulgaria,2003,207.65
Bulgaria,2004,184.12
Bulgaria,2005,178.06
Bulgaria,2006,186.53
Bulgaria,2007,173.76999999999998
Bulgaria,2008,170.34
Bulgaria,2009,154.42
Bulgaria,2010,158.25
Bulgaria,2011,133.52
Bulgaria,2012,164.17
Bulgaria,2013,134.16
Bulgaria,2014,139.77
Cabo Verde,2011,133.84
Canada,1985,166.46
Canada,1986,190.10999999999999
Canada,1987,179.32999999999998
Canada,1988,175.38
Canada,1989,170.98
Canada,1990,165.02
Canada,1991,167.78
Canada,1992,163.6
Canada,1993,164.02
Canada,1994,161.91
Canada,1995,163.52
Canada,1996,162.89
Canada,1997,151.43
Canada,1998,150.12
Canada,1999,158.44
Canada,2000,139.0
Canada,2001,137.43
Canada,2002,137.73
Canada,2003,137.27
Canada,2004,131.66
Canada,2005,133.84
Canada,2006,126.42999999999999
Canada,2007,127.45
Canada,2008,127.59
Canada,2009,130.67
Canada,2010,132.67
Canada,2011,125.02
Canada,2012,127.88
Canada,2013,133.09
Chile,1985,108.91
Chile,1986,90.94
Chile,1987,89.42
Chile,1988,94.9
Chile,1989,100.44
Chile,1990,91.86
Chile,1991,98.83
Chile,1992,78.88
Chile,1993,103.18
Chile,1994,95.34
Chile,1995,108.91
Chile,1996,95.71
Chile,1997,100.13
Chile,1998,109.77
Chile,1999,111.86
Chile,2000,149.18
Chile,2001,147.58
Chile,2002,149.28
Chile,2003,153.54
Chile,2004,155.69
Chile,2005,147.43
Chile,2006,155.06
Chile,2007,150.92000000000002
Chile,2008,167.88
Chile,2009,174.29999999999998
Chile,2010,162.88
Chile,2011,160.84
Chile,2012,148.41
Chile,2013,134.52
Chile,2014,137.37
Chile,2015,147.68
Colombia,1985,62.56
Colombia,1986,50.11
Colombia,1987,45.17
Colombia,1988,50.64
Colombia,1989,41.690000000000005
Colombia,1990,43.43
Colombia,1991,43.57
Colombia,1992,49.48
Colombia,1993,49.23
Colombia,1994,55.95
Colombia,1995,49.64
Colombia,1996,53.17
Colombia,1997,52.77
Colombia,1998,81.67999999999999
Colombia,1999,84.1
Colombia,2000,89.78
Colombia,2001,88.27
Colombia,2002,81.38
Colombia,2003,79.85
Colombia,2004,84.25
Colombia,2005,74.84
Colombia,2006,78.41
Colombia,2007,74.25
Colombia,2008,74.22
Colombia,2009,73.83
Colombia,2010,67.24
Colombia,2011,62.879999999999995
Colombia,2012,66.45
Colombia,2013,63.53
Colombia,2014,66.62
Colombia,2015,70.39999999999999
Costa Rica,1985,69.46
Costa Rica,1986,89.84
Costa Rica,1987,85.56
Costa Rica,1988,88.98
Costa Rica,1989,84.77
Costa Rica,1990,93.27
Costa Rica,1991,61.72
Costa Rica,1992,72.54
Costa Rica,1993,98.83
Costa Rica,1994,80.79
Costa Rica,1995,79.17999999999999
Costa Rica,1996,94.86
Costa Rica,1997,80.63
Costa Rica,1998,92.09
Costa Rica,1999,85.06
Costa Rica,2000,88.29
Costa Rica,2001,76.03
Costa Rica,2002,95.62
Costa Rica,2003,115.88
Costa Rica,2004,100.72
Costa Rica,2005,78.73
Costa Rica,2006,100.83
Costa Rica,2007,75.35
Costa Rica,2008,72.27
Costa Rica,2009,77.37
Costa Rica,2010,84.35
Costa Rica,2011,89.83
Costa Rica,2012,80.76
Costa Rica,2013,89.26
Costa Rica,2014,70.85
Croatia,1995,305.54
Croatia,1996,334.79
Croatia,1997,313.7
Croatia,1998,344.3
Croatia,1999,327.28000000000003
Croatia,2000,322.75
Croatia,2001,287.54
Croatia,2002,304.12
Croatia,2003,281.69
Croatia,2004,302.24
Croatia,2005,269.57
Croatia,2006,248.22
Croatia,2007,243.45
Croatia,2008,265.69
Croatia,2009,254.29
Croatia,2010,241.97
Croatia,2011,221.10999999999999
Croatia,2012,239.01
Croatia,2013,210.3
Croatia,2014,222.04
Croatia,2015,229.68
Croatia,2016,213.56
Cuba,1992,369.71
Cuba,1993,392.93
Cuba,1994,363.31
Cuba,1995,352.76
Cuba,1996,316.23
Cuba,1997,317.4
Cuba,1998,326.98
Cuba,1999,306.12
Cuba,2000,272.77
Cuba,2001,244.51
Cuba,2002,240.42000000000002
Cuba,2003,221.12
Cuba,2004,216.12
Cuba,2005,205.94
Cuba,2006,202.55
Cuba,2007,188.18
Cuba,2008,190.99
Cuba,2009,201.32999999999998
Cuba,2010,202.13
Cuba,2011,207.05
Cuba,2012,204.0
Cuba,2013,190.46
Cuba,2014,184.63
Cuba,2015,194.31
Cyprus,1999,1.57
Cyprus,2000,8.36
Cyprus,2004,9.17
Cyprus,2005,24.740000000000002
Cyprus,2006,27.64
Cyprus,2007,36.17
Cyprus,2008,59.07
Cyprus,2009,55.53
Cyprus,2010,58.88
Cyprus,2011,43.78
Cyprus,2012,42.9
Cyprus,2013,64.61
Cyprus,2014,57.1
Cyprus,2015,49.589999999999996
Cyprus,2016,47.15
Czech Republic,1990,314.21999999999997
Czech Republic,1991,292.01
Czech Republic,1992,303.21
Czech Republic,1993,297.64
Czech Republic,1994,293.28
Czech Republic,1995,264.4
Czech Republic,1996,243.48000000000002
Czech Republic,1997,234.13
Czech Republic,1998,226.70000000000002
Czech Republic,1999,236.93
Czech Republic,2000,226.64000000000001
Czech Republic,2001,220.92
Czech Republic,2002,212.15
Czech Republic,2003,234.88
Czech Republic,2004,203.02
Czech Republic,2005,193.4
Czech Republic,2006,178.4
Czech Republic,2007,170.78
Czech Republic,2008,175.01
Czech Republic,2009,179.71
Czech Republic,2010,175.62
Czech Republic,2011,186.23999999999998
Czech Republic,2012,196.23
Czech Republic,2013,186.07
Czech Republic,2014,175.29
Czech Republic,2015,170.87
Czech Republic,2016,161.76
Denmark,1994,253.22
Denmark,1995,239.13
Denmark,1996,229.56
Denmark,1997,218.46
Denmark,1998,188.68
Denmark,1999,183.09
Denmark,2000,181.07
Denmark,2001,186.17
Denmark,2002,176.51
Denmark,2003,156.7
Denmark,2004,161.78
Denmark,2005,164.23
Denmark,2006,162.07999999999998
Denmark,2007,139.96
Denmark,2008,143.05
Denmark,2009,144.7
Denmark,2010,130.02
Denmark,2011,126.33
Denmark,2012,143.21
Denmark,2013,134.55
Denmark,2014,137.73
Denmark,2015,121.42
Dominica,1985,0.0
Ecuador,1985,82.52
Ecuador,1986,76.54
Ecuador,1987,62.53
Ecuador,1988,75.28999999999999
Ecuador,1989,70.38
Ecuador,1990,60.48
Ecuador,1991,66.96
Ecuador,1992,75.8
Ecuador,1993,70.91
Ecuador,1994,67.67
Ecuador,1995,68.22
Ecuador,1996,76.34
Ecuador,1997,67.02
Ecuador,1998,62.07
Ecuador,1999,71.92999999999999
Ecuador,2000,57.17
Ecuador,2001,67.24
Ecuador,2002,61.42
Ecuador,2003,70.56
Ecuador,2004,84.39
Ecuador,2005,96.73
Ecuador,2006,93.07
Ecuador,2007,95.97
Ecuador,2008,95.29
Ecuador,2009,94.25
Ecuador,2010,81.49
Ecuador,2011,81.8
Ecuador,2012,84.88
Ecuador,2013,62.88
Ecuador,2014,66.02
Ecuador,2015,97.39
El Salvador,1990,184.46
El Salvador,1991,171.3
El Salvador,1992,120.62
El Salvador,1993,123.69
El Salvador,1995,159.19
El Salvador,1996,145.16
El Salvador,1997,140.0
El Salvador,1998,122.83
El Salvador,1999,127.96000000000001
El Salvador,2000,110.55
El Salvador,2001,129.71
El Salvador,2002,113.19
El Salvador,2003,128.92
El Salvador,2004,111.56
El Salvador,2005,115.73
El Salvador,2006,99.57
El Salvador,2007,127.14
El Salvador,2008,125.82
El Salvador,2009,124.12
El Salvador,2010,97.92
El Salvador,2011,115.46
El Salvador,2012,123.14
El Salvador,2013,116.06
El Salvador,2014,101.84
Estonia,1995,543.1899999999999
Estonia,1996,528.72
Estonia,1997,502.06
Estonia,1998,427.52
Estonia,1999,486.47
Estonia,2000,364.64
Estonia,2001,371.68
Estonia,2002,358.3
Estonia,2003,338.24
Estonia,2004,299.46
Estonia,2005,256.43
Estonia,2006,242.63
Estonia,2007,265.05
Estonia,2008,244.57
Estonia,2009,248.67
Estonia,2010,229.07
Estonia,2011,229.26
Estonia,2012,241.60999999999999
Estonia,2013,231.92000000000002
Estonia,2014,258.91
Estonia,2015,205.38
Fiji,2001,54.95
Fiji,2002,110.54
Fiji,2003,16.12
Fiji,2004,90.49000000000001
Fiji,2005,52.83
Fiji,2006,30.77
Fiji,2007,20.46
Fiji,2008,47.48
Fiji,2009,51.67
Fiji,2011,106.97
Fiji,2012,91.58
Finland,1987,347.35
Finland,1988,354.04
Finland,1989,373.36
Finland,1990,396.22
Finland,1991,377.58
Finland,1992,349.87
Finland,1993,333.0
Finland,1994,330.24
Finland,1995,324.96
Finland,1996,289.65
Finland,1997,310.35
Finland,1998,301.43
Finland,1999,283.11
Finland,2000,265.65
Finland,2001,267.19
Finland,2002,255.51999999999998
Finland,2003,243.45000000000002
Finland,2004,243.95000000000002
Finland,2005,230.52
Finland,2006,233.8
Finland,2007,223.08
Finland,2008,220.29
Finland,2009,228.48999999999998
Finland,2010,215.21
Finland,2011,203.61
Finland,2012,187.01
Finland,2013,196.83
Finland,2014,177.16
Finland,2015,161.19
France,1985,348.9
France,1986,351.77
France,1987,331.03000000000003
France,1988,312.72
France,1989,312.53
France,1990,302.73
France,1991,298.1
France,1992,301.46999999999997
France,1993,312.69
France,1994,299.95
France,1995,292.62
France,1996,271.21999999999997
France,1997,266.33
France,1998,253.65
France,1999,245.82999999999998
France,2000,257.23
France,2001,239.94
France,2002,238.64000000000001
France,2003,241.31
France,2004,232.51000000000002
France,2005,232.09
France,2006,220.63
France,2007,213.69
France,2008,216.21
France,2009,216.24
France,2010,211.17000000000002
France,2011,211.18
France,2012,198.98
France,2013,192.33
France,2014,179.56
Georgia,1990,64.43
Georgia,1991,53.050000000000004
Georgia,1992,60.48
Georgia,1994,37.3
Georgia,1995,40.74
Georgia,1996,59.7
Georgia,1997,60.65
Georgia,1998,49.3
Georgia,1999,68.58
Georgia,2000,46.64
Georgia,2001,35.19
Georgia,2004,66.54
Georgia,2005,28.36
Georgia,2006,23.51
Georgia,2007,36.59
Georgia,2009,65.06
Georgia,2010,34.33
Georgia,2011,36.309999999999995
Georgia,2012,34.88
Georgia,2013,55.57
Georgia,2014,74.49
Georgia,2015,84.67999999999999
Germany,1990,259.45
Germany,1991,258.11
Germany,1992,250.04
Germany,1993,235.5
Germany,1994,230.79
Germany,1995,233.58
Germany,1996,216.42
Germany,1997,210.96
Germany,1998,200.51
Germany,1999,189.24
Germany,2000,185.55
Germany,2001,185.78
Germany,2002,183.96
Germany,2003,181.24
Germany,2004,172.23
Germany,2005,161.49
Germany,2006,152.52
Germany,2007,146.52
Germany,2008,145.52
Germany,2009,145.52
Germany,2010,152.17000000000002
Germany,2011,152.82
Germany,2012,148.31
Germany,2013,153.07999999999998
Germany,2014,153.04
Germany,2015,150.34
Greece,1985,58.17
Greece,1986,61.21
Greece,1987,63.059999999999995
Greece,1988,60.12
Greece,1989,54.53
Greece,1990,51.49
Greece,1991,54.57
Greece,1992,48.93
Greece,1993,53.1
Greece,1994,46.84
Greece,1995,49.68
Greece,1996,45.13
Greece,1997,47.660000000000004
Greece,1998,48.27
Greece,1999,45.74
Greece,2000,44.86
Greece,2001,38.81
Greece,2002,38.35
Greece,2003,40.67
Greece,2004,40.92
Greece,2005,46.53
Greece,2006,45.410000000000004
Greece,2007,33.91
Greece,2008,40.3
Greece,2009,40.97
Greece,2010,39.9
Greece,2011,48.68
Greece,2012,53.32
Greece,2013,55.11
Greece,2014,59.82
Greece,2015,56.06
Grenada,1985,25.08
Grenada,1988,46.800000000000004
Grenada,1989,65.09
Grenada,1990,24.75
Grenada,1991,0.0
Grenada,1992,0.0
Grenada,1993,34.21
Grenada,1994,60.82
Grenada,1995,51.95
Grenada,1996,11.96
Grenada,2001,0.0
Grenada,2002,0.0
Grenada,2003,69.18
Grenada,2004,13.37
Grenada,2005,160.82
Grenada,2006,9.89
Grenada,2007,48.34
Grenada,2008,0.0
Grenada,2009,0.0
Grenada,2010,0.0
Grenada,2011,20.73
Grenada,2012,18.009999999999998
Grenada,2013,0.0
Grenada,2014,0.0
Grenada,2015,0.0
Grenada,2016,0.0
Guatemala,1986,42.84
Guatemala,1987,57.92
Guatemala,1988,47.24
Guatemala,1989,35.23
Guatemala,1990,34.07
Guatemala,1991,33.52
Guatemala,1992,38.25
Guatemala,1993,31.169999999999998
Guatemala,1994,25.9
Guatemala,1995,34.13
Guatemala,1996,30.05
Guatemala,1997,26.509999999999998
Guatemala,1998,37.06
Guatemala,1999,36.5
Guatemala,2000,27.419999999999998
Guatemala,2001,30.59
Guatemala,2002,40.53
Guatemala,2003,37.34
Guatemala,2004,29.93
Guatemala,2005,32.61
Guatemala,2006,41.95
Guatemala,2007,40.27
Guatemala,2008,54.76
Guatemala,2009,57.57
Guatemala,2010,35.43
Guatemala,2011,34.69
Guatemala,2012,41.8
Guatemala,2013,40.69
Guatemala,2014,45.88
Guatemala,2015,44.85
Guyana,1988,91.92
Guyana,1989,184.88
Guyana,1990,177.06
Guyana,1991,232.84
Guyana,1992,182.15
Guyana,1993,116.81
Guyana,1994,162.2
Guyana,1995,208.72
Guyana,1996,128.31
Guyana,1997,82.65
Guyana,1998,64.86
Guyana,1999,313.62
Guyana,2001,380.76
Guyana,2002,311.93
Guyana,2003,382.54
Guyana,2004,400.0
Guyana,2005,333.96
Guyana,2006,394.6
Guyana,2007,373.75
Guyana,2008,353.62
Guyana,2009,301.78
Guyana,2010,403.07
Guyana,2011,349.53000000000003
Guyana,2012,367.98
Guyana,2013,356.38
Hungary,1991,575.0
Hungary,1992,570.26
Hungary,1993,539.28
Hungary,1994,535.81
Hungary,1995,493.42
Hungary,1996,482.74
Hungary,1997,470.44
Hungary,1998,436.78
Hungary,1999,483.88
Hungary,2000,464.56
Hungary,2001,408.98
Hungary,2002,382.75
Hungary,2003,372.04
Hungary,2004,369.46999999999997
Hungary,2005,352.01
Hungary,2006,312.65999999999997
Hungary,2007,327.32
Hungary,2008,331.68
Hungary,2009,310.72
Hungary,2010,321.31
Hungary,2011,299.85
Hungary,2012,305.96
Hungary,2013,266.23
Hungary,2014,244.31
Hungary,2015,257.27
Hungary,2016,241.34
Iceland,1985,171.05
Iceland,1986,215.1
Iceland,1987,209.94
Iceland,1988,167.98000000000002
Iceland,1989,110.12
Iceland,1990,180.31
Iceland,1991,199.73
Iceland,1992,122.89
Iceland,1993,109.02
Iceland,1994,125.44
Iceland,1995,129.66
Iceland,1996,177.35
Iceland,1997,164.02
Iceland,1998,141.09
Iceland,1999,128.92
Iceland,2000,207.99
Iceland,2001,163.06
Iceland,2002,131.24
Iceland,2003,100.97
Iceland,2004,168.81
Iceland,2005,115.0
Iceland,2006,106.39
Iceland,2007,163.29
Iceland,2008,136.09
Iceland,2009,123.73
Iceland,2010,184.27
Iceland,2011,92.95
Iceland,2012,145.41
Iceland,2013,221.24
Iceland,2014,197.96
Iceland,2015,140.65
Iceland,2016,138.07
Ireland,1985,102.16
Ireland,1986,104.88
Ireland,1987,95.42
Ireland,1988,113.24
Ireland,1989,110.56
Ireland,1990,125.68
Ireland,1991,126.53
Ireland,1992,137.87
Ireland,1993,117.14999999999999
Ireland,1994,142.82
Ireland,1995,143.84
Ireland,1996,145.54
Ireland,1997,156.15
Ireland,1998,162.17
Ireland,1999,141.22
Ireland,2000,142.36
Ireland,2001,148.97
Ireland,2002,135.82
Ireland,2003,134.77
Ireland,2004,129.42000000000002
Ireland,2005,121.11
Ireland,2006,126.46
Ireland,2007,121.77
Ireland,2008,129.56
Ireland,2009,132.63
Ireland,2010,120.3
Ireland,2011,138.58
Ireland,2012,137.66
Ireland,2013,117.41
Ireland,2014,119.68
Israel,1985,112.03
Israel,1986,130.28
Israel,1987,133.61
Israel,1988,124.16
Israel,1989,170.32
Israel,1990,122.26
Israel,1991,139.34
Israel,1992,130.95
Israel,1993,137.23
Israel,1994,149.89000000000001
Israel,1995,127.42999999999999
Israel,1996,110.51
Israel,1997,126.58
Israel,1998,100.11
Israel,1999,102.58
Israel,2000,108.56
Israel,2001,108.23
Israel,2002,93.49
Israel,2003,97.17
Israel,2004,98.44
Israel,2005,102.91
Israel,2006,80.52
Israel,2007,73.67
Israel,2008,87.33
Israel,2009,80.32
Israel,2010,99.47
Israel,2011,87.41
Israel,2012,83.79
Israel,2013,74.21
Israel,2014,71.25999999999999
Israel,2015,65.91
Italy,1985,133.4
Italy,1986,131.05
Italy,1987,125.54
Italy,1988,121.81
Italy,1989,116.64
Italy,1990,121.98
Italy,1991,115.87
Italy,1992,115.48
Italy,1993,121.14
Italy,1994,118.92999999999999
Italy,1995,118.00999999999999
Italy,1996,115.45
Italy,1997,117.04
Italy,1998,113.84
Italy,1999,99.72
Italy,2000,99.22
Italy,2001,95.87
Italy,2002,94.61
Italy,2003,94.42
Italy,2004,91.33
Italy,2005,82.59
Italy,2006,81.61
Italy,2007,81.96000000000001
Italy,2008,81.69
Italy,2009,81.92999999999999
Italy,2010,80.77
Italy,2011,86.08
Italy,2012,85.45
Italy,2013,84.86
Italy,2014,82.13
Italy,2015,78.45
Jamaica,1985,9.04
Jamaica,1986,0.57
Jamaica,1987,7.78
Jamaica,1988,4.2
Jamaica,1989,0.0
Jamaica,1990,1.32
Jamaica,1991,0.9
Jamaica,2000,1.16
Jamaica,2001,2.8
Jamaica,2002,0.7
Jamaica,2003,0.9099999999999999
Jamaica,2004,0.74
Jamaica,2005,26.169999999999998
Jamaica,2006,0.0
Jamaica,2009,21.13
Jamaica,2010,1.16
Jamaica,2011,27.86
Japan,1985,300.46999999999997
Japan,1986,323.55
